9012_0,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###He showedcourage at difficult times, which helped him to succeed###extraordinary"
9429_4,"Read the passage and finish the following tasks.Valentine's DayValentine's Day (情人节) is a time when people show feelings of love, and friendship. It is celebrated in many ways worldwide and falls on February 14 each year.What Do People Do?Many people around the world celebrate Valentine's Day by showing appreciation for the people they love. Some people take their loved ones for a romantic dinner at a restaurant while others may choose this day to propose or get married. Many people give greeting cards, chocolates, jewelry or flowers, particularly roses, to their partners or admirers on Valentine's Day.It is also a time to appreciate friends in some social circles and cultures. For example, Valentine's Day in Finland refers to “Friend's day”, which is more about remembering all friends rather than focusing only on romance. Valentine's Day in Guatemala is known as Day of Love and Friendship. It is similar to Valentine's Day customs and traditions countries such as the United States but it is also a time for many to show their appreciation for their friends.Public LifeValentine's Day is not a public holiday in many countries, includingAustralia,Canada,the United Kingdomand theUnited States. However, restaurants, hotels and shopping centers may be busy around this time of the year.BackgroundThe origins of Valentine's Day are not clear but many sources believe that it comes from the story of St Valentine, a Roman priest who looked painful on or around February 14 in the year 270 CE. How he became the saint (圣人) of lovers remains a mystery.The ancient ceremony included putting girls' names in a box and letting the boys draw them out. Couples would then be paired off until the following year. The Christian church used saints' names for girls' names in hope that the participant would model his life after the saint whose name he drew.Eventually the custom of sending cards or messages to those whom one admired became the accepted way of celebrating Valentine's Day. There was an increase in interest in Valentine's Day, first in the United States and then in Canada, in the mid19th century. Early kinds of Valentine cardsmade of satin (缎子) and lace (花边) and decorated with flowers, ribbons, and images of cupids (丘比特) or birds appeared in England in the 1880s.SymbolsHearts, the colors red and pink, roses, images and statues of cupids, and cupids' bows and arrows symbolize the feeling of romance and love on Valentine's Day. Cupid is usually drawn as a small winged figure with a bow and arrow. In mythology (神话), he uses his arrow to strike the hearts of people. People who fall in love are sometimes said to be “struck by Cupid's arrow”. The day focuses on love, romance, appreciation and friendship###How can we make Chinese traditional festival popular again###Possible answers:First, there should be a day off on the festival. Second, businesses and schools promote the significance of the festival."
9431_0,人机对话：看图回答问题###What are they doing###They're having a dragon boat race.
9431_1,人机对话：看图回答问题###What festival is it###Dragon Boat Festival.
9432_0,"某英文报社正在举办题为“My Weekend”的英语征文比赛假如你是李华请你写一篇不少于40词的短文参赛介绍你的周末生活, 提示词语仅供选用请包含以下几点：①What do youusuallydoon the weekend?②Why do you usually do them on the weekend?③What do you think of yourweekend?提示词语：homework, clean, film, shopping, interesting, happy###书面表达:作文信息点是否齐全###On the weekend, I usually finish my homework first. Then I clean my room and help my parents take out the rubbish and water the plants. I like keeping our home clean and beautiful. I usually go shopping and see films with my parents. I enjoy spending time with my family.I like my weekend. I can do something interesting and enjoy myself. I can also help my parents with some housework. I am happy about it.4分 信息点齐全，有适当的扩展。3分 信息点齐全，但没有扩展。2分 漏掉部分主要信息。0分 没有任何有效信息。"
9432_1,"某英文报社正在举办题为“My Weekend”的英语征文比赛假如你是李华请你写一篇不少于40词的短文参赛介绍你的周末生活, 提示词语仅供选用请包含以下几点：①What do youusuallydoon the weekend?②Why do you usually do them on the weekend?③What do you think of yourweekend?提示词语：homework, clean, film, shopping, interesting, happy###书面表达：语法结构是否正确词汇是否丰富###）5分 语法结构和词汇丰富。语言通顺，语意连贯，有个别语法错误。4分 语法结构和词汇基本满足文章需要，有少量语法错误。3分 语言不通顺，语意难以理解；语言知识错误随处可见，影响整体理解。0分 没有任何有效信息。"
9432_2,"某英文报社正在举办题为“My Weekend”的英语征文比赛假如你是李华请你写一篇不少于40词的短文参赛介绍你的周末生活, 提示词语仅供选用请包含以下几点：①What do youusuallydoon the weekend?②Why do you usually do them on the weekend?③What do you think of yourweekend?提示词语：homework, clean, film, shopping, interesting, happy###书面表达：表达自身观点理由是否充分###）5分明确表达自身观点，理由充分。4分 表达出自己的观点，但理由不够充分。3分 没有表达自己的观点。0分 没有任何有效信息。"
9433_0,"阅读下面短文根据短文意思选择最佳答案It was early evening on September 14th. Glen James, a homeless man was passing by a store in Boston when he happened upon a black bag. To see whose bagitis, Glen opened it only to find that it was filled with money＄2,400 in cash and almost＄40,000 in traveler´s checks, as well as, a passport and other papers.While other people in similar situations would have been tempted(引诱),Glen,who has been homeless since 2005, did not even think twice. He showed the bag toa police officer, and the police officer gave it back to a Chinese tourist who had reported it lost. What Glen did was reported by newspapers, all over the country.While most people that read it felt surprised at the man´s honesty, 27yearold Ethan Whittington thought Glen should get money for what he did.Sohe decided to set up a money collection website. He set a goal of＄50.000, which he believed was reasonable because it was more than what Glen had discovered in the bag. The marketingmanager from Virginia thought he would be lucky to raise a few hundred dollars. Instead, within just a day, the website had gone over the＄50,000 goal, encouraging Ethan to set a higher goal of＄250,000 so that he could help Glen buy a house and start a new life.Up tonow,＄113,000 has been raised. Ethan who has talked to Glen over the phone, plans to visit Boston soon and also help him manage the money wisely. Needless to say,the homeless man is surprised at what he is receiving for doing the right thingHonesty, certainly pays off!###What can we learn from Glen and Ethan###We can learn to be honest from Glen and learn to be helpful / warm-hearted / responsible from Ethan."
9433_1,"阅读下面短文根据短文意思选择最佳答案It was early evening on September 14th. Glen James, a homeless man was passing by a store in Boston when he happened upon a black bag. To see whose bagitis, Glen opened it only to find that it was filled with money＄2,400 in cash and almost＄40,000 in traveler´s checks, as well as, a passport and other papers.While other people in similar situations would have been tempted(引诱),Glen,who has been homeless since 2005, did not even think twice. He showed the bag toa police officer, and the police officer gave it back to a Chinese tourist who had reported it lost. What Glen did was reported by newspapers, all over the country.While most people that read it felt surprised at the man´s honesty, 27yearold Ethan Whittington thought Glen should get money for what he did.Sohe decided to set up a money collection website. He set a goal of＄50.000, which he believed was reasonable because it was more than what Glen had discovered in the bag. The marketingmanager from Virginia thought he would be lucky to raise a few hundred dollars. Instead, within just a day, the website had gone over the＄50,000 goal, encouraging Ethan to set a higher goal of＄250,000 so that he could help Glen buy a house and start a new life.Up tonow,＄113,000 has been raised. Ethan who has talked to Glen over the phone, plans to visit Boston soon and also help him manage the money wisely. Needless to say,the homeless man is surprised at what he is receiving for doing the right thingHonesty, certainly pays off!###What do you think of Glen? Why do you think so###I think Glen is very honest. Although he was homeless and poor, he showed a valuable bag with money $ 2,400 in cash and almost $ 40,000 in traveler’s checks, as well as, a passport and other papers to a police officer without thinking twice."
9433_2,"阅读下面短文根据短文意思选择最佳答案It was early evening on September 14th. Glen James, a homeless man was passing by a store in Boston when he happened upon a black bag. To see whose bagitis, Glen opened it only to find that it was filled with money＄2,400 in cash and almost＄40,000 in traveler´s checks, as well as, a passport and other papers.While other people in similar situations would have been tempted(引诱),Glen,who has been homeless since 2005, did not even think twice. He showed the bag toa police officer, and the police officer gave it back to a Chinese tourist who had reported it lost. What Glen did was reported by newspapers, all over the country.While most people that read it felt surprised at the man´s honesty, 27yearold Ethan Whittington thought Glen should get money for what he did.Sohe decided to set up a money collection website. He set a goal of＄50.000, which he believed was reasonable because it was more than what Glen had discovered in the bag. The marketingmanager from Virginia thought he would be lucky to raise a few hundred dollars. Instead, within just a day, the website had gone over the＄50,000 goal, encouraging Ethan to set a higher goal of＄250,000 so that he could help Glen buy a house and start a new life.Up tonow,＄113,000 has been raised. Ethan who has talked to Glen over the phone, plans to visit Boston soon and also help him manage the money wisely. Needless to say,the homeless man is surprised at what he is receiving for doing the right thingHonesty, certainly pays off!###Imagine how Glen will live his life with $ 113,000###He may run a company to help more homeless people."
9435_0,"Read the passage and finish the following tasks.Caught by a Black HoleThe spaceship warned Li Yanping and me to be ready as we were approaching (靠近) the “blackhole”. We could see some faint lights around what looked like an empty space. Li Yanping said,“That empty hole is like a mouth always needing to be fed. Those lights are things that are beingpulled into it by the gravity of the hole.” We watched with interest and amazement at the lightswhich seemed to be going fainter and fainter round the edge of the black hole. Just then the lights on our spaceship went out and the computer stopped working. What was happening? I tried to turn the spaceship away from the hole but it would not move. Would it eat us too?Suddenly the spaceship jumped and began to move round the edge of the hole too. The gravity of the “black hole” was pulling us into its “mouth”. As the spaceship moved round the black hole, I felt rather sick. My mouth went dry and I closed my eyes. All the stories about what happened when you were caught by the gravity of a “black hole” seemed to be true.But then the spaceship jumped again. This time it moved sideways and away from the edge of the “black hole”. Someone watching me would have seen the spaceship flying like a bird away from the “black hole”. But we felt nothing. At last we were able to look around us. Luckily the computer had started working again. We realized that we had discovered something new about “black holes”. If you go inside the edge of a “black hole”, it will “eat” you and there is no escape; but if you do not, you may have an opportunity to escape. How exciting!###According to the title and the picture, please predict what the passage is mainly about###A、An adventure near the “black hole”.B、The formation of the “black hole”.C、The gravity of the “black hole”.D、The theory of the “black hole”. "
9435_1,"Read the passage and finish the following tasks.Caught by a Black HoleThe spaceship warned Li Yanping and me to be ready as we were approaching (靠近) the “blackhole”. We could see some faint lights around what looked like an empty space. Li Yanping said,“That empty hole is like a mouth always needing to be fed. Those lights are things that are beingpulled into it by the gravity of the hole.” We watched with interest and amazement at the lightswhich seemed to be going fainter and fainter round the edge of the black hole. Just then the lights on our spaceship went out and the computer stopped working. What was happening? I tried to turn the spaceship away from the hole but it would not move. Would it eat us too?Suddenly the spaceship jumped and began to move round the edge of the hole too. The gravity of the “black hole” was pulling us into its “mouth”. As the spaceship moved round the black hole, I felt rather sick. My mouth went dry and I closed my eyes. All the stories about what happened when you were caught by the gravity of a “black hole” seemed to be true.But then the spaceship jumped again. This time it moved sideways and away from the edge of the “black hole”. Someone watching me would have seen the spaceship flying like a bird away from the “black hole”. But we felt nothing. At last we were able to look around us. Luckily the computer had started working again. We realized that we had discovered something new about “black holes”. If you go inside the edge of a “black hole”, it will “eat” you and there is no escape; but if you do not, you may have an opportunity to escape. How exciting!###What can we learn about the “black hole” from the passage###A、It “spits” things out as well as “eats” them.B、Objects cannot get close to the edge of it.C、Nobody can escape from it.D、It can be seen clearly. "
9435_2,"Read the passage and finish the following tasks.Caught by a Black HoleThe spaceship warned Li Yanping and me to be ready as we were approaching (靠近) the “blackhole”. We could see some faint lights around what looked like an empty space. Li Yanping said,“That empty hole is like a mouth always needing to be fed. Those lights are things that are beingpulled into it by the gravity of the hole.” We watched with interest and amazement at the lightswhich seemed to be going fainter and fainter round the edge of the black hole. Just then the lights on our spaceship went out and the computer stopped working. What was happening? I tried to turn the spaceship away from the hole but it would not move. Would it eat us too?Suddenly the spaceship jumped and began to move round the edge of the hole too. The gravity of the “black hole” was pulling us into its “mouth”. As the spaceship moved round the black hole, I felt rather sick. My mouth went dry and I closed my eyes. All the stories about what happened when you were caught by the gravity of a “black hole” seemed to be true.But then the spaceship jumped again. This time it moved sideways and away from the edge of the “black hole”. Someone watching me would have seen the spaceship flying like a bird away from the “black hole”. But we felt nothing. At last we were able to look around us. Luckily the computer had started working again. We realized that we had discovered something new about “black holes”. If you go inside the edge of a “black hole”, it will “eat” you and there is no escape; but if you do not, you may have an opportunity to escape. How exciting!###What can we see if we sweep into the “black hole” with a super searchlight（探照灯）###No matter what special tools we use or how strong the light is, we could see nothing but a “black hole”. Because no light can escape from inside it, so it reflects no light at all."
9435_3,"Read the passage and finish the following tasks.Caught by a Black HoleThe spaceship warned Li Yanping and me to be ready as we were approaching (靠近) the “blackhole”. We could see some faint lights around what looked like an empty space. Li Yanping said,“That empty hole is like a mouth always needing to be fed. Those lights are things that are beingpulled into it by the gravity of the hole.” We watched with interest and amazement at the lightswhich seemed to be going fainter and fainter round the edge of the black hole. Just then the lights on our spaceship went out and the computer stopped working. What was happening? I tried to turn the spaceship away from the hole but it would not move. Would it eat us too?Suddenly the spaceship jumped and began to move round the edge of the hole too. The gravity of the “black hole” was pulling us into its “mouth”. As the spaceship moved round the black hole, I felt rather sick. My mouth went dry and I closed my eyes. All the stories about what happened when you were caught by the gravity of a “black hole” seemed to be true.But then the spaceship jumped again. This time it moved sideways and away from the edge of the “black hole”. Someone watching me would have seen the spaceship flying like a bird away from the “black hole”. But we felt nothing. At last we were able to look around us. Luckily the computer had started working again. We realized that we had discovered something new about “black holes”. If you go inside the edge of a “black hole”, it will “eat” you and there is no escape; but if you do not, you may have an opportunity to escape. How exciting!###What do you think was the most frightening thing that happened on the journey? (At least 60 words)###Possible answers:In my opinion, the most frightening experience was when the spaceship was moving around the black hole. At that time, the gravity of the “black hole” was pulling them slowly into its “mouth”, but they couldn't turn the spaceship away from the hole. What's more, they felt rather sick and were extremely terrified. They thought they would be swallowed by the “hole”."
9436_0,"阅读下面短文根据短文意思选择最佳答案“People have been traveling by car for 100 years. My invention is not done by the time expected. Who hasn´t had an emergency while traveling? Sometimes you´re miles from the nearest gas station or McDonald´s. Everyone knows that when you have to go, you have to go,” said Phil Bole.Phil has invented a chemical toilet for cars. One size fits all cars and people. It is made from recycled materials. “It never smells bad,” he says. Between uses, it can be stored in the trunk(后备箱). When the toilet is full, an adult or child can compress（挤压） it into the size of a bowling ball. The waste matter in the toilet is continuously being taken in by chemicals. All the waste matter even turns into a lot of dry crumbs. The toilet can be dropped into any trash can at any time.Phil tested his invention while on a twoweek vacation with his wife and four young kids. He said that the kids loved it. His wife didn´t.“Nothing on earth could make me use that disgusting thing!” she told him. He said to her sincerely that he had invented the toilet mainly for women and kids. He needed a woman´s encouragement so the toilet would sell. “No women would ever use this thing!” she answered.“My wife´s kind of a prude(拘守礼仪的人),” Phil said one day to Bret, his workmate. After much thought, Phil finally figure out how to make his wife love his invention: he made a pink toilet covered with yellow flowers. “What more could a woman want?” he asked while showing it to Bret. Bret said it was a beautiful and practical gift. And since his wife´s birthday was the following week, Bret ordered a toilet. “Your wife will remember this birthday forever!” Phil promised Bret###Who invented a chemical toilet for cars###A、Phil . B、Bret.  C、Phil’s wife. D、Bret´s wife. "
9436_1,"阅读下面短文根据短文意思选择最佳答案“People have been traveling by car for 100 years. My invention is not done by the time expected. Who hasn´t had an emergency while traveling? Sometimes you´re miles from the nearest gas station or McDonald´s. Everyone knows that when you have to go, you have to go,” said Phil Bole.Phil has invented a chemical toilet for cars. One size fits all cars and people. It is made from recycled materials. “It never smells bad,” he says. Between uses, it can be stored in the trunk(后备箱). When the toilet is full, an adult or child can compress（挤压） it into the size of a bowling ball. The waste matter in the toilet is continuously being taken in by chemicals. All the waste matter even turns into a lot of dry crumbs. The toilet can be dropped into any trash can at any time.Phil tested his invention while on a twoweek vacation with his wife and four young kids. He said that the kids loved it. His wife didn´t.“Nothing on earth could make me use that disgusting thing!” she told him. He said to her sincerely that he had invented the toilet mainly for women and kids. He needed a woman´s encouragement so the toilet would sell. “No women would ever use this thing!” she answered.“My wife´s kind of a prude(拘守礼仪的人),” Phil said one day to Bret, his workmate. After much thought, Phil finally figure out how to make his wife love his invention: he made a pink toilet covered with yellow flowers. “What more could a woman want?” he asked while showing it to Bret. Bret said it was a beautiful and practical gift. And since his wife´s birthday was the following week, Bret ordered a toilet. “Your wife will remember this birthday forever!” Phil promised Bret###What does the underlined word “It” refer to###A、The Chemical toilet. B、The car. C、The waste matter. D、The trunk. "
9436_2,"阅读下面短文根据短文意思选择最佳答案“People have been traveling by car for 100 years. My invention is not done by the time expected. Who hasn´t had an emergency while traveling? Sometimes you´re miles from the nearest gas station or McDonald´s. Everyone knows that when you have to go, you have to go,” said Phil Bole.Phil has invented a chemical toilet for cars. One size fits all cars and people. It is made from recycled materials. “It never smells bad,” he says. Between uses, it can be stored in the trunk(后备箱). When the toilet is full, an adult or child can compress（挤压） it into the size of a bowling ball. The waste matter in the toilet is continuously being taken in by chemicals. All the waste matter even turns into a lot of dry crumbs. The toilet can be dropped into any trash can at any time.Phil tested his invention while on a twoweek vacation with his wife and four young kids. He said that the kids loved it. His wife didn´t.“Nothing on earth could make me use that disgusting thing!” she told him. He said to her sincerely that he had invented the toilet mainly for women and kids. He needed a woman´s encouragement so the toilet would sell. “No women would ever use this thing!” she answered.“My wife´s kind of a prude(拘守礼仪的人),” Phil said one day to Bret, his workmate. After much thought, Phil finally figure out how to make his wife love his invention: he made a pink toilet covered with yellow flowers. “What more could a woman want?” he asked while showing it to Bret. Bret said it was a beautiful and practical gift. And since his wife´s birthday was the following week, Bret ordered a toilet. “Your wife will remember this birthday forever!” Phil promised Bret###What do you think of Phil Bole###Possible answers: He is careful, hardworking and clever."
9436_3,"阅读下面短文根据短文意思选择最佳答案“People have been traveling by car for 100 years. My invention is not done by the time expected. Who hasn´t had an emergency while traveling? Sometimes you´re miles from the nearest gas station or McDonald´s. Everyone knows that when you have to go, you have to go,” said Phil Bole.Phil has invented a chemical toilet for cars. One size fits all cars and people. It is made from recycled materials. “It never smells bad,” he says. Between uses, it can be stored in the trunk(后备箱). When the toilet is full, an adult or child can compress（挤压） it into the size of a bowling ball. The waste matter in the toilet is continuously being taken in by chemicals. All the waste matter even turns into a lot of dry crumbs. The toilet can be dropped into any trash can at any time.Phil tested his invention while on a twoweek vacation with his wife and four young kids. He said that the kids loved it. His wife didn´t.“Nothing on earth could make me use that disgusting thing!” she told him. He said to her sincerely that he had invented the toilet mainly for women and kids. He needed a woman´s encouragement so the toilet would sell. “No women would ever use this thing!” she answered.“My wife´s kind of a prude(拘守礼仪的人),” Phil said one day to Bret, his workmate. After much thought, Phil finally figure out how to make his wife love his invention: he made a pink toilet covered with yellow flowers. “What more could a woman want?” he asked while showing it to Bret. Bret said it was a beautiful and practical gift. And since his wife´s birthday was the following week, Bret ordered a toilet. “Your wife will remember this birthday forever!” Phil promised Bret###Which of the following is true according to the passage###A、Phil´s wife encouraged him to sell the toilet.B、Phil´s four young kids refused to use the toilet. C、Phil was sure that Bret´s wife would like the toilet.D、Phil felt disappointed at the invention after the vacation. "
9436_4,"阅读下面短文根据短文意思选择最佳答案“People have been traveling by car for 100 years. My invention is not done by the time expected. Who hasn´t had an emergency while traveling? Sometimes you´re miles from the nearest gas station or McDonald´s. Everyone knows that when you have to go, you have to go,” said Phil Bole.Phil has invented a chemical toilet for cars. One size fits all cars and people. It is made from recycled materials. “It never smells bad,” he says. Between uses, it can be stored in the trunk(后备箱). When the toilet is full, an adult or child can compress（挤压） it into the size of a bowling ball. The waste matter in the toilet is continuously being taken in by chemicals. All the waste matter even turns into a lot of dry crumbs. The toilet can be dropped into any trash can at any time.Phil tested his invention while on a twoweek vacation with his wife and four young kids. He said that the kids loved it. His wife didn´t.“Nothing on earth could make me use that disgusting thing!” she told him. He said to her sincerely that he had invented the toilet mainly for women and kids. He needed a woman´s encouragement so the toilet would sell. “No women would ever use this thing!” she answered.“My wife´s kind of a prude(拘守礼仪的人),” Phil said one day to Bret, his workmate. After much thought, Phil finally figure out how to make his wife love his invention: he made a pink toilet covered with yellow flowers. “What more could a woman want?” he asked while showing it to Bret. Bret said it was a beautiful and practical gift. And since his wife´s birthday was the following week, Bret ordered a toilet. “Your wife will remember this birthday forever!” Phil promised Bret###How does Phil´s first toilet work###Possible answers: Between uses, it can be stored in the trunk. When the toilet is full, an adult or child can compress it into the size of a bowling ball. The waste matter in the toilet is continuously being taken in by chemicals. All the waste matter even turns into a lot of dry crumbs. The toilet can be dropped into any trash can at any time."
9436_5,"阅读下面短文根据短文意思选择最佳答案“People have been traveling by car for 100 years. My invention is not done by the time expected. Who hasn´t had an emergency while traveling? Sometimes you´re miles from the nearest gas station or McDonald´s. Everyone knows that when you have to go, you have to go,” said Phil Bole.Phil has invented a chemical toilet for cars. One size fits all cars and people. It is made from recycled materials. “It never smells bad,” he says. Between uses, it can be stored in the trunk(后备箱). When the toilet is full, an adult or child can compress（挤压） it into the size of a bowling ball. The waste matter in the toilet is continuously being taken in by chemicals. All the waste matter even turns into a lot of dry crumbs. The toilet can be dropped into any trash can at any time.Phil tested his invention while on a twoweek vacation with his wife and four young kids. He said that the kids loved it. His wife didn´t.“Nothing on earth could make me use that disgusting thing!” she told him. He said to her sincerely that he had invented the toilet mainly for women and kids. He needed a woman´s encouragement so the toilet would sell. “No women would ever use this thing!” she answered.“My wife´s kind of a prude(拘守礼仪的人),” Phil said one day to Bret, his workmate. After much thought, Phil finally figure out how to make his wife love his invention: he made a pink toilet covered with yellow flowers. “What more could a woman want?” he asked while showing it to Bret. Bret said it was a beautiful and practical gift. And since his wife´s birthday was the following week, Bret ordered a toilet. “Your wife will remember this birthday forever!” Phil promised Bret###Please write an ending to this story###Possible answers: A week later, Bret´s wife met Phil´s wife. She told Phil’s wife that the toilet was wonderful, and advised her to have a try."
9437_0,"根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###In December of the same year, he wasRookie of the Month###named "
9437_1,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###He had to deal withdifferences to communicate with his teammates###cultural 
9437_2,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Mike is my.We are both in the basketball team###teammate 
9437_3,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###We shouldour health###value 
9437_4,"根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Most, he always gives me the support I need when I am having difficulties###importantly "
9437_5,"根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###He had very little, so he knows few words###schooling "
9437_6,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###The government has takenmeasures to fight against pollution###a number of 
9437_7,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Please clearlyyour address and telephone number###state
9438_0,"阅读下面短文根据短文意思选择最佳答案Detective Wiley drove to Avery Towers immediately when he got the call for help from Lord Avery. It was a beautiful morning. The sun was shining and birds were singing. A servant opened the front door and showed him into the library where Lord Avery was waiting. He was smiling.“DetectiveWiley. I’m so happy to see you!” said Lord Avery.“I came as soon as I could,” answered Wiley. “What happened, Lord Avery?” “Last night someone stole my gold ring while I was sleeping,” explained Avery. “Hm, I want to examine the whole house,” saidDetectiveWiley. He went from room to room and examined all theevidencecarefully.Then he returned to the library. “Tell me, Lord Avery, who was here in the house last night?” Lord Avery replied, “Myself, Lady Avery, our son Jonathan, Lady March, Hodge the gardener andLilythe cook.“Hm. I see.”“So, what now?” asked Lord Avery.“Call them to the library. I want to ask them where they were and what they were doing just now.”“Just now?” asked Lord Avery. “But someone stole the ring last night, not just now...”“I know,” replied Wiley. “Trust me, Lord Avery.”###Where did Wiley drive when he got a call###A、ToAvery Towers.B、To the police station.C、To his friend’s home. "
9438_1,"阅读下面短文根据短文意思选择最佳答案Detective Wiley drove to Avery Towers immediately when he got the call for help from Lord Avery. It was a beautiful morning. The sun was shining and birds were singing. A servant opened the front door and showed him into the library where Lord Avery was waiting. He was smiling.“DetectiveWiley. I’m so happy to see you!” said Lord Avery.“I came as soon as I could,” answered Wiley. “What happened, Lord Avery?” “Last night someone stole my gold ring while I was sleeping,” explained Avery. “Hm, I want to examine the whole house,” saidDetectiveWiley. He went from room to room and examined all theevidencecarefully.Then he returned to the library. “Tell me, Lord Avery, who was here in the house last night?” Lord Avery replied, “Myself, Lady Avery, our son Jonathan, Lady March, Hodge the gardener andLilythe cook.“Hm. I see.”“So, what now?” asked Lord Avery.“Call them to the library. I want to ask them where they were and what they were doing just now.”“Just now?” asked Lord Avery. “But someone stole the ring last night, not just now...”“I know,” replied Wiley. “Trust me, Lord Avery.”###When did Lord lose his gold ring###A、This morning.B、This afternoon.C、Last night. "
9438_2,"阅读下面短文根据短文意思选择最佳答案Detective Wiley drove to Avery Towers immediately when he got the call for help from Lord Avery. It was a beautiful morning. The sun was shining and birds were singing. A servant opened the front door and showed him into the library where Lord Avery was waiting. He was smiling.“DetectiveWiley. I’m so happy to see you!” said Lord Avery.“I came as soon as I could,” answered Wiley. “What happened, Lord Avery?” “Last night someone stole my gold ring while I was sleeping,” explained Avery. “Hm, I want to examine the whole house,” saidDetectiveWiley. He went from room to room and examined all theevidencecarefully.Then he returned to the library. “Tell me, Lord Avery, who was here in the house last night?” Lord Avery replied, “Myself, Lady Avery, our son Jonathan, Lady March, Hodge the gardener andLilythe cook.“Hm. I see.”“So, what now?” asked Lord Avery.“Call them to the library. I want to ask them where they were and what they were doing just now.”“Just now?” asked Lord Avery. “But someone stole the ring last night, not just now...”“I know,” replied Wiley. “Trust me, Lord Avery.”###What does Lord Avery mean by saying “DetectiveWiley. I’m so happy to see you!”###A、Wiley would give him a gold ring.B、Wiley would ask him many questions.C、Wiley would help him find the ring or the thief. "
9438_3,"阅读下面短文根据短文意思选择最佳答案Detective Wiley drove to Avery Towers immediately when he got the call for help from Lord Avery. It was a beautiful morning. The sun was shining and birds were singing. A servant opened the front door and showed him into the library where Lord Avery was waiting. He was smiling.“DetectiveWiley. I’m so happy to see you!” said Lord Avery.“I came as soon as I could,” answered Wiley. “What happened, Lord Avery?” “Last night someone stole my gold ring while I was sleeping,” explained Avery. “Hm, I want to examine the whole house,” saidDetectiveWiley. He went from room to room and examined all theevidencecarefully.Then he returned to the library. “Tell me, Lord Avery, who was here in the house last night?” Lord Avery replied, “Myself, Lady Avery, our son Jonathan, Lady March, Hodge the gardener andLilythe cook.“Hm. I see.”“So, what now?” asked Lord Avery.“Call them to the library. I want to ask them where they were and what they were doing just now.”“Just now?” asked Lord Avery. “But someone stole the ring last night, not just now...”“I know,” replied Wiley. “Trust me, Lord Avery.”###What probably happened at last in the story###Possible answers: At last Wiley found the thief./ At last nobody stole the ring and the servant found it behind the door. /At last the servant told the truth."
9438_4,"阅读下面短文根据短文意思选择最佳答案Detective Wiley drove to Avery Towers immediately when he got the call for help from Lord Avery. It was a beautiful morning. The sun was shining and birds were singing. A servant opened the front door and showed him into the library where Lord Avery was waiting. He was smiling.“DetectiveWiley. I’m so happy to see you!” said Lord Avery.“I came as soon as I could,” answered Wiley. “What happened, Lord Avery?” “Last night someone stole my gold ring while I was sleeping,” explained Avery. “Hm, I want to examine the whole house,” saidDetectiveWiley. He went from room to room and examined all theevidencecarefully.Then he returned to the library. “Tell me, Lord Avery, who was here in the house last night?” Lord Avery replied, “Myself, Lady Avery, our son Jonathan, Lady March, Hodge the gardener andLilythe cook.“Hm. I see.”“So, what now?” asked Lord Avery.“Call them to the library. I want to ask them where they were and what they were doing just now.”“Just now?” asked Lord Avery. “But someone stole the ring last night, not just now...”“I know,” replied Wiley. “Trust me, Lord Avery.”###What didWiley mainly do in Lord’s home###Possible answers: Heasked Lord something, examined the rooms and asked the people in the house last night some questions."
9438_5,"阅读下面短文根据短文意思选择最佳答案Detective Wiley drove to Avery Towers immediately when he got the call for help from Lord Avery. It was a beautiful morning. The sun was shining and birds were singing. A servant opened the front door and showed him into the library where Lord Avery was waiting. He was smiling.“DetectiveWiley. I’m so happy to see you!” said Lord Avery.“I came as soon as I could,” answered Wiley. “What happened, Lord Avery?” “Last night someone stole my gold ring while I was sleeping,” explained Avery. “Hm, I want to examine the whole house,” saidDetectiveWiley. He went from room to room and examined all theevidencecarefully.Then he returned to the library. “Tell me, Lord Avery, who was here in the house last night?” Lord Avery replied, “Myself, Lady Avery, our son Jonathan, Lady March, Hodge the gardener andLilythe cook.“Hm. I see.”“So, what now?” asked Lord Avery.“Call them to the library. I want to ask them where they were and what they were doing just now.”“Just now?” asked Lord Avery. “But someone stole the ring last night, not just now...”“I know,” replied Wiley. “Trust me, Lord Avery.”###What do you think of Wiley###Possible answers: He is helpful, clever and confident."
